trial,win_stride,padding,scale,hit_threshold,score_threshold,nms_threshold,use_preprocessing,shrink_factor,grabcut_iters,det_score,hole_score,continuity,texture,hole_ratio,boundary_mae,det_metrics,continuity_score,texture_score,num_boxes,f1,precision,recall,mean_iou_matched,preset,total_score
21,4x4,8x8,1.05,0.4,0.4,0.4,True,0.04,9,0.982,0.0,0.8876,0.6267,0.4496,3.3372,"{'tp': 2, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'mean_iou_matched': 0.9600057227244809}",0.8876,0.6267,2,1.0,1.0,1.0,0.9600057227244809,smart_tune,0.0
23,4x4,16x16,1.09,0.30000000000000004,0.30000000000000004,0.5,False,0.12,9,0.9299,0.0,0.3806,1.0,0.2858,27.0491,"{'tp': 2, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'mean_iou_matched': 0.8441746562534531}",0.3806,1.0,2,1.0,1.0,1.0,0.8441746562534531,smart_tune,0.0
25,4x4,32x32,1.08,0.30000000000000004,0.5,0.6000000000000001,False,0.14,6,0.9131,0.0,0.3403,0.9475,0.2813,30.181,"{'tp': 2, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'mean_iou_matched': 0.8069589442475423}",0.3403,0.9475,2,1.0,1.0,1.0,0.8069589442475423,smart_tune,0.0
26,4x4,16x16,1.04,0.7000000000000001,0.0,0.55,True,0.04,11,0.9624,0.0,0.9668,0.4966,0.4799,0.9459,"{'tp': 2, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'mean_iou_matched': 0.9164021507091541}",0.9668,0.4966,2,1.0,1.0,1.0,0.9164021507091541,smart_tune,0.0
31,4x4,8x8,1.09,0.6000000000000001,0.2,0.6000000000000001,False,0.0,12,0.9562,0.0,0.7655,0.719,0.5532,7.4835,"{'tp': 2, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'mean_iou_matched': 0.9026046344932406}",0.7655,0.719,2,1.0,1.0,1.0,0.9026046344932406,smart_tune,0.0
32,4x4,8x8,1.06,0.4,0.2,0.65,False,0.06,7,0.9486,0.0,0.8611,0.3922,0.4392,4.1874,"{'tp': 2, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'mean_iou_matched': 0.8856780741126811}",0.8611,0.3922,2,1.0,1.0,1.0,0.8856780741126811,smart_tune,0.0
34,4x4,32x32,1.05,0.2,0.4,0.6000000000000001,False,0.02,11,0.9774,0.0,0.9151,0.4909,0.4498,2.4846,"{'tp': 2, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'mean_iou_matched': 0.9498701851725762}",0.9151,0.4909,2,1.0,1.0,1.0,0.9498701851725762,smart_tune,0.0
35,4x4,32x32,1.04,0.6000000000000001,0.30000000000000004,0.5,True,0.22,3,0.8656,0.0,0.2906,0.9352,0.2364,34.6049,"{'tp': 2, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'mean_iou_matched': 0.7012752136275227}",0.2906,0.9352,2,1.0,1.0,1.0,0.7012752136275227,smart_tune,0.0
36,8x8,8x8,1.07,0.0,0.1,0.2,False,0.06,9,0.9082,0.0,0.2372,1.0,0.2417,40.2868,"{'tp': 2, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'mean_iou_matched': 0.796045927876283}",0.2372,1.0,2,1.0,1.0,1.0,0.796045927876283,smart_tune,0.0
37,4x4,16x16,1.08,0.4,0.0,0.65,True,0.12,5,0.9442,0.0,0.6704,0.6958,0.4037,11.1957,"{'tp': 2, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'mean_iou_matched': 0.8759054623549865}",0.6704,0.6958,2,1.0,1.0,1.0,0.8759054623549865,smart_tune,0.0
